Time,Active power
1/01/2020,259.1960708
1/02/2020,280.9239542
1/03/2020,231.0645021
1/04/2020,147.1053333
1/05/2020,296.0064792
1/06/2020,534.6455951
1/07/2020,778.9192674
1/08/2020,615.8921208
1/09/2020,234.9761215
1/10/2020,268.1156118
1/11/2020,682.925734
1/12/2020,598.2699347
1/13/2020,402.445391
1/14/2020,273.2812646
1/15/2020,211.8274785
1/16/2020,255.7446785
1/17/2020,111.8799639
1/18/2020,368.6079944
1/19/2020,692.1449701
1/20/2020,372.5861458
1/21/2020,605.1249444
1/22/2020,816.7976319
1/23/2020,770.1271826
1/24/2020,686.6030653
1/25/2020,237.0151736
1/26/2020,223.3263486
1/27/2020,183.9793549
1/28/2020,162.0912278
1/29/2020,259.9328861
1/30/2020,147.7107556
1/31/2020,208.4372958
2/01/2020,307.9586264
2/02/2020,398.4210917
2/03/2020,443.2264444
2/04/2020,553.8153799
2/05/2020,408.4222389
2/06/2020,218.6734903
2/07/2020,361.4360299
2/08/2020,317.0535507
2/09/2020,319.1495806
2/10/2020,557.2520604
2/11/2020,891.8938306
2/12/2020,925.3940194
2/13/2020,562.6968708
2/14/2020,237.9980583
2/15/2020,198.0084403
2/16/2020,243.8639583
2/17/2020,364.2546542
2/18/2020,233.2956569
2/19/2020,305.9947944
2/20/2020,582.0861806
2/21/2020,1005.94717
2/22/2020,838.0206479
2/23/2020,623.0350125
2/24/2020,376.4591993
2/25/2020,328.7635569
2/26/2020,332.6746174
2/27/2020,405.9429778
2/28/2020,449.808159
2/29/2020,334.6731653
3/01/2020,276.7874743
3/02/2020,197.56875
3/03/2020,84.74124028
3/04/2020,167.0499757
3/05/2020,281.4350319
3/06/2020,279.8725
3/07/2020,215.0954625
3/08/2020,391.9412639
3/09/2020,285.8551451
3/10/2020,239.1119917
3/11/2020,167.0436722
3/12/2020,279.0766222
3/13/2020,262.5347674
3/14/2020,295.4934299
3/15/2020,334.5124542
3/16/2020,410.124684
3/17/2020,225.8919597
3/18/2020,168.6545125
3/19/2020,258.297
3/20/2020,176.7415688
3/21/2020,223.7563201
3/22/2020,243.8104896
3/23/2020,215.0628042
3/24/2020,370.9264993
3/25/2020,224.8887889
3/26/2020,244.0813201
3/27/2020,141.0619403
3/28/2020,139.4225813
3/29/2020,128.3981882
3/30/2020,327.6785708
3/31/2020,238.7579708
4/01/2020,287.3347104
4/02/2020,181.196984
4/03/2020,125.3989007
4/04/2020,123.9118792
4/05/2020,211.3294194
4/06/2020,131.0512569
